iter	Passed	Remaining
0	2	234
1	4	221
2	6	206
3	8	198
4	11	215
5	14	232
6	18	239
7	21	241
8	23	237
9	26	235
10	28	228
11	30	225
12	34	229
13	37	227
14	39	225
15	42	222
16	45	220
17	49	224
18	52	222
19	54	216
20	57	215
21	60	213
22	62	209
23	65	206
24	67	201
25	69	196
26	71	193
27	74	191
28	77	189
29	79	185
30	81	181
31	83	177
32	85	173
33	88	170
34	90	168
35	92	164
36	94	161
37	96	157
38	98	154
39	101	152
40	103	149
41	104	144
42	106	141
43	108	137
44	110	134
45	112	132
46	115	129
47	117	126
48	119	123
49	121	121
50	123	118
51	125	115
52	127	113
53	129	110
54	130	107
55	132	104
56	134	101
57	136	98
58	138	96
59	140	93
60	143	91
61	145	88
62	146	86
63	149	83
64	150	81
65	153	79
66	155	76
67	157	74
68	159	71
69	161	69
70	163	66
71	166	64
72	168	62
73	170	59
74	172	57
75	174	55
76	176	52
77	178	50
78	180	48
79	183	45
80	185	43
81	186	41
82	188	38
83	190	36
84	192	33
85	194	31
86	196	29
87	198	27
88	200	24
89	202	22
90	204	20
91	206	17
92	208	15
93	210	13
94	212	11
95	213	8
96	215	6
97	216	4
98	218	2
99	220	0
